user_id,absolute_purchase_count,average_order_value
13965501.3079306644,2,88.0
9209938.5004119512,2,87.5
7670494.0367304220,2,87.0
45465207.4943375965,2,87.0
3698543.6654155044,2,86.5
1052855.9145777052,2,86.5
766583098.5979816085,2,86.0
3327716.6139481359,2,85.67
79964492.7086086150,2,84.5
2211286.4172337240,2,84.5
22941144.0166280987,2,84.0
2317598.9209464204,2,83.0
61145313.5871571070,2,83.0
72273077.0200111080,2,83.0
84232431.7456081587,2,81.0
26661028.3315613037,2,80.0
56575397.8153659749,2,79.0
18938448.3710776022,2,79.0
8846705.8896018235,2,78.5
40957384.9471332754,2,77.5
6070906.8817356972,2,77.5
8321172.7493780280,2,77.0
5805017.6522131594,2,76.0
14763691.5596383469,2,75.0
1678004.9029250603,2,75.0
75571709.1157982540,2,74.5
79579853.0520588965,2,74.5
4231038.0723891741,2,73.0
7132082.9139478677,2,73.0
1112480.2331977019,2,73.0
7453835.7513761923,2,72.67
6195712.5561534807,2,72.67
1197596.6971314265,2,72.0
73143977.4968623389,2,71.5
49793755.7550891425,2,71.5
58442179.0715020466,2,71.5
80394414.5185177426,2,71.0
8337415.6051453076,2,70.67
2651197.1532552824,2,70.0
90997370.5306849276,2,69.5
9963542.3978980993,2,69.0
47356565.2696944170,2,69.0
7816881.7527763245,2,68.0
6476625.4953512502,2,68.0
1158637.0383647084,2,68.0
84389355.3658704825,2,67.5
5674547.8008141064,2,67.33
4208419.3477986827,2,66.5
4182254.4394955103,2,65.5
91838502.5897605942,2,65.0
57985307.5936727130,2,65.0
66897566.4482598405,2,64.67
46727904.9693724828,2,64.0
7687394.8608023492,2,64.0
75294747.2712173356,2,64.0
8435794.6872177111,2,63.5
59487571.9263599382,2,63.5
97619147.3055572166,2,63.0
5706715.6852183826,2,62.0
7446712.2726872272,2,62.0
7231269.9049300807,2,62.0
7305312.0773204883,2,61.5
1685178.0670336190,2,61.33
4113793.0930728956,2,61.0
40346918.5536032263,2,60.5
80975437.6451700615,2,60.0
77283283.8065996514,2,60.0
6533788.3267075710,2,59.67
77805852.6832906360,2,59.67
7798879.3207627147,2,59.5
8729822.7526838334,2,59.0
38310647.6108465759,2,59.0
45237746.5667441680,2,59.0
6315084.4680304987,2,59.0
1881053.8413916911,2,59.0
30956870.6460404440,2,58.67
46104581.7287269838,2,58.5
1832855.2035957845,2,58.5
14670836.5443476050,2,58.5
90544735.0149811314,2,57.5
3086397.9583021338,2,57.5
29066864.4014292306,2,57.0
9116326.9159124025,2,57.0
29707188.6359473780,2,57.0
8245686.1133438238,2,56.5
2669656.5276416328,2,56.5
88556371.7879566968,2,56.5
7307316.0360352296,2,56.0
6354182.0340556014,2,56.0
9142790.6469687387,2,56.0
35315894.9355065326,2,56.0
2884152188.9848456767,2,56.0
77052125.0799530822,2,55.5
79083189.5507574462,2,55.5
9191614969.9586626915,2,55.0
8974847.1466317161,2,55.0
73347340.2924582017,2,55.0
24524364.1326643374,2,54.5
4108803108.5870431970,2,54.5
18161607.9002799024,2,54.5
9030851.6893086314,2,54.0
60425733.9344537014,2,54.0
3388152.7416415006,2,54.0
47705051.4543207032,2,54.0
12485307.5806877734,2,54.0
84089063.5523557782,2,52.0
2298657.2118304279,2,51.5
46220931.9485309955,2,51.5
54535436.2028528496,2,51.0
3632663.7723787409,2,50.5
4225728.0151759118,2,50.0
6628033917.0193794826,2,49.5
15492110.1286918774,2,49.0
7468279.0238776028,2,49.0
67504810.2599834553,2,49.0
3092987668.5257302601,2,48.5
7461331.4499994836,2,48.5
35563232.0919900786,2,48.5
1416421.5108958042,2,48.0
5002787.9583537280,2,48.0
37858547.0848590713,2,47.5
89517168.1965913087,2,47.5
7333732.4162222716,2,47.5
4396894.6112781516,2,47.5
4228397.9560479355,2,47.0
8043833.5057848398,2,46.67
3526931.3784502135,2,46.67
1298332.8805790276,2,46.5
5833707.4640795740,2,46.0
5155655.8559554783,2,46.0
31844096.5499743319,2,46.0
59568325.0734810744,2,46.0
9992779.7021507317,2,45.5
2552499.2967992898,2,45.5
9507289116.7685282362,2,45.5
19646880.6083875642,2,45.0
1735740.0362728656,2,45.0
5795144.5608491958,2,44.5
40901811.1171290722,2,44.0
4118528.2594121459,2,44.0
23468969.8705339890,2,44.0
3691687.9126020150,2,44.0
